dataset_id,driver_id,phone_id,n_rows,gravity_norm_mean,gravity_norm_std,acc_norm_mean,stationary_frac,stationary_samples,speed_max_kmh,is_stationary_dataset,gyro_bias_x,gyro_noise_x,gyro_bias_y,gyro_noise_y,gyro_bias_z,gyro_noise_z,stat_resid_sub_norm_mean,stat_resid_add_norm_mean,stat_acc_norm_mean,stat_grav_norm_mean,stat_cos_acc_gravity,acc_bias_x,acc_noise_x,acc_bias_y,acc_noise_y,acc_bias_z,acc_noise_z,grav_unit_x,grav_unit_y,grav_unit_z,tilt_from_vertical_deg
S-Vta15,E,HuaweiP20Pro,833,9.8066,4e-05,10.22955,0.0,0,21.51,False,,,,,,,,,,,,,,,,,,,,,
S-Vta16,E,HuaweiP20Pro,11335,9.8066,4e-05,10.21663,0.0137,155,25.89,False,0.00024,0.008449,1.4e-05,0.015101,-0.000382,0.009497,0.64208,19.66268,9.87002,9.8066,0.99717,-0.184219,0.150129,0.599672,0.368119,0.035275,0.063252,-0.0,0.0003,1.0,0.01
S-Vta17,E,HuaweiP20Pro,4519,9.8066,4e-05,10.33287,0.0084,38,15.01,False,,,,,,,,,,,,,,,,,,,,,
S-Vta19,E,HuaweiP20Pro,292,9.8066,4e-05,10.1639,0.0753,22,14.83,False,,,,,,,,,,,,,,,,,,,,,
S-Vta1a,E,HuaweiP20Pro,25676,9.8066,4e-05,10.35883,0.0095,243,28.78,False,-0.00053,0.011696,-0.007604,0.04822,0.000225,0.015128,0.31372,19.64909,9.846,9.8066,0.99929,0.013256,0.257866,-0.039626,0.264926,0.032327,0.082527,0.0,0.0,1.0,0.0
S-Vta1b,E,HuaweiP20Pro,954,9.80659,4e-05,10.4384,0.001,1,21.37,False,,,,,,,,,,,,,,,,,,,,,
S-Vta2,E,HuaweiP20Pro,10991,9.8066,4e-05,10.26724,0.0563,619,22.58,False,-0.002152,0.009379,0.007493,0.020917,-0.004343,0.013947,0.56664,19.65847,9.86533,9.8066,0.99727,-0.025783,0.3712,-0.441897,0.44555,0.031473,0.063649,-0.0001,-0.0003,1.0,0.01
S-Vta20,E,HuaweiP20Pro,3223,9.8066,2e-05,9.9696,0.5985,1929,21.98,False,0.000821,0.014361,-0.000483,0.025094,-0.000255,0.01703,0.20831,19.67046,9.86512,9.8066,0.99974,-0.007275,0.167363,-0.022976,0.146551,0.055991,0.090393,0.0,-0.0,1.0,0.0
S-Vta21,E,HuaweiP20Pro,2079,9.8066,4e-05,10.57746,0.0,0,21.98,False,,,,,,,,,,,,,,,,,,,,,
S-Vta22,E,HuaweiP20Pro,1564,9.8066,4e-05,10.49676,0.0,0,15.13,False,,,,,,,,,,,,,,,,,,,,,
S-Vta23,E,HuaweiP20Pro,1110,9.8066,4e-05,10.49268,0.018,20,13.53,False,,,,,,,,,,,,,,,,,,,,,
S-Vta24,E,HuaweiP20Pro,1171,9.8066,3e-05,10.06859,0.0,0,15.22,False,,,,,,,,,,,,,,,,,,,,,
S-Vta25,E,HuaweiP20Pro,646,9.8066,3e-05,10.0006,0.1223,79,11.54,False,-0.000352,0.015494,0.008639,0.037426,0.00717,0.027962,0.58168,19.68545,9.89108,9.8066,0.99752,0.433143,0.443498,-0.112771,0.298703,0.059951,0.095181,-0.0001,0.0001,1.0,0.01
S-Vta26,E,HuaweiP20Pro,1935,9.8066,4e-05,10.32489,0.2899,561,14.96,False,-0.000511,0.012794,0.001131,0.018361,-0.000411,0.012343,0.24614,19.66232,9.85784,9.80659,0.99957,-0.019045,0.127845,0.154082,0.20828,0.046975,0.070567,-0.0,0.0001,1.0,0.0
S-Vta27,E,HuaweiP20Pro,2540,9.8066,4e-05,10.65441,0.0665,169,16.88,False,-0.000841,0.01132,0.004848,0.021674,-0.003007,0.016547,0.40681,19.67003,9.87029,9.8066,0.99862,-0.065362,0.161255,0.327737,0.370018,0.049765,0.070905,-0.0,0.0002,1.0,0.01
S-Vta28,E,HuaweiP20Pro,4210,9.8066,4e-05,10.42966,0.0124,52,18.02,False,-3.7e-05,0.007813,0.000952,0.022142,-0.001083,0.013317,0.37678,19.64916,9.84676,9.80659,0.99915,-0.276142,0.200038,-0.112438,0.190415,0.031729,0.044201,-0.0001,-0.0,1.0,0.01
S-Vta29,E,HuaweiP20Pro,23705,9.8066,4e-05,10.43838,0.0294,696,28.34,False,-0.000893,0.010721,-0.001224,0.036254,5.9e-05,0.015553,0.52275,19.66456,9.86658,9.8066,0.99825,-0.093584,0.410271,-0.148086,0.37762,0.04266,0.077627,-0.0001,0.0,1.0,0.0
S-Vta3,E,HuaweiP20Pro,645,9.8066,3e-05,9.96341,0.2837,183,9.91,False,-0.003769,0.010834,-0.00836,0.04257,-0.00324,0.020414,0.5943,19.66597,9.86973,9.8066,0.9979,-0.318265,0.330225,-0.23936,0.376976,0.042377,0.076012,-0.0001,0.0001,1.0,0.01
S-Vta30,E,HuaweiP20Pro,17136,9.8066,3e-05,10.10501,0.1217,2086,26.66,False,0.001308,0.009067,-0.000557,0.022929,-0.001092,0.011058,0.26433,19.66686,9.8633,9.8066,0.99939,0.04311,0.194814,-0.049819,0.280743,0.050586,0.068162,0.0,-0.0,1.0,0.0
S-Vta4,E,HuaweiP20Pro,1789,9.80659,4e-05,10.44245,0.0,0,13.52,False,,,,,,,,,,,,,,,,,,,,,
S-Vta5,E,HuaweiP20Pro,307,9.80659,4e-05,10.22265,0.0,0,13.43,False,,,,,,,,,,,,,,,,,,,,,
S-Vta6,E,HuaweiP20Pro,1376,9.80659,4e-05,10.46979,0.0,0,28.59,False,,,,,,,,,,,,,,,,,,,,,
S-Vta7,E,HuaweiP20Pro,840,9.80659,4e-05,10.45882,0.0,0,30.81,False,,,,,,,,,,,,,,,,,,,,,
S-Vta8,E,HuaweiP20Pro,3676,9.8066,4e-05,10.16926,0.0,0,21.1,False,,,,,,,,,,,,,,,,,,,,,
S-Vta9,E,HuaweiP20Pro,156,9.8066,4e-05,10.1047,0.0,0,20.76,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb1,E,HuaweiP20Pro,32459,9.8066,4e-05,10.26471,0.0287,930,27.77,False,-0.000166,0.010954,-0.003107,0.024212,-0.00065,0.013952,0.40877,19.66242,9.86247,9.8066,0.99865,0.041527,0.337503,-0.183655,0.336675,0.042493,0.083068,-0.0,-0.0,1.0,0.0
S-Vtb10,E,HuaweiP20Pro,196,9.8066,4e-05,10.13979,0.0,0,18.78,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb11,E,HuaweiP20Pro,361,9.8066,4e-05,10.30432,0.0,0,20.7,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb12,E,HuaweiP20Pro,447,9.8066,4e-05,10.11633,0.0,0,19.68,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb2,E,HuaweiP20Pro,5712,9.8066,4e-05,10.30755,0.0933,533,17.3,False,-0.000852,0.009076,0.008154,0.025303,-0.001712,0.013589,0.28627,19.66445,9.86097,9.8066,0.99937,0.081104,0.237806,-0.031633,0.243651,0.04812,0.069733,0.0,0.0,1.0,0.0
S-Vtb3,E,HuaweiP20Pro,8240,9.8066,2e-05,9.92157,0.5818,4794,9.74,False,-0.001032,0.01226,0.001821,0.034495,-0.001415,0.019155,0.41814,19.66512,9.86451,9.8066,0.99878,0.072692,0.29312,0.135378,0.356044,0.045894,0.100397,0.0,0.0,1.0,0.0
S-Vtb4,E,HuaweiP20Pro,556,9.8066,4e-05,10.56235,0.0,0,7.69,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb5,E,HuaweiP20Pro,64388,9.8066,4e-05,10.13426,0.0076,492,30.65,False,-0.001092,0.011943,0.003558,0.024752,-0.001109,0.01625,0.51778,19.65231,9.85576,9.8066,0.99796,0.100683,0.336329,-0.188478,0.488512,0.02893,0.088958,-0.0,0.0,1.0,0.0
S-Vtb6,E,HuaweiP20Pro,498,9.8066,4e-05,10.13346,0.0,0,19.41,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb7,E,HuaweiP20Pro,461,9.8066,4e-05,10.15139,0.0,0,18.73,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb8,E,HuaweiP20Pro,668,9.8066,4e-05,10.27277,0.0,0,20.02,False,,,,,,,,,,,,,,,,,,,,,
S-Vtb9,E,HuaweiP20Pro,452,9.8066,4e-05,10.19769,0.0,0,24.02,False,,,,,,,,,,,,,,,,,,,,,
S-Vw1,E,HuaweiP20Pro,20476,9.8066,2e-05,9.85384,0.9938,20349,0.0,True,-0.001881,0.013287,0.004523,0.029149,-0.002128,0.028144,0.37065,19.65637,9.85362,9.8066,0.99922,-0.011633,0.280111,-0.025297,0.269846,0.039285,0.091709,0.0,-0.0,1.0,0.0
S-Vw10,E,HuaweiP20Pro,652,9.8066,4e-05,10.47778,0.0,0,13.46,False,,,,,,,,,,,,,,,,,,,,,
S-Vw11,E,HuaweiP20Pro,4909,9.80659,4e-05,10.24666,0.1263,620,27.01,False,0.000386,0.010113,0.000647,0.032733,-0.000295,0.018935,0.39419,19.65876,9.85757,9.8066,0.9989,0.208908,0.299796,0.070178,0.27448,0.040106,0.077727,0.0001,0.0,1.0,0.01
S-Vw12,E,HuaweiP20Pro,918,9.8066,4e-05,10.22464,0.0,0,26.48,False,,,,,,,,,,,,,,,,,,,,,
S-Vw13,E,HuaweiP20Pro,284,9.8066,4e-05,10.5365,0.0,0,31.45,False,,,,,,,,,,,,,,,,,,,,,
S-Vw14a,E,HuaweiP20Pro,3138,9.8066,4e-05,10.23256,0.0,0,29.67,False,,,,,,,,,,,,,,,,,,,,,
S-Vw14b,E,HuaweiP20Pro,19588,9.8066,4e-05,10.14145,0.0,0,31.84,False,,,,,,,,,,,,,,,,,,,,,
S-Vw14c,E,HuaweiP20Pro,15826,9.8066,4e-05,10.08698,0.0901,1426,27.61,False,-0.00034,0.00942,-0.001263,0.032002,0.001041,0.019193,0.41677,19.66293,9.86206,9.8066,0.99884,0.084643,0.342192,-0.008257,0.32115,0.043926,0.077366,0.0,-0.0,1.0,0.0
S-Vw15,E,HuaweiP20Pro,1380,9.8066,2e-05,9.8512,0.9768,1348,0.0,True,-0.000882,0.007865,0.002233,0.028741,-0.00081,0.016277,0.25031,19.65565,9.85082,9.8066,0.99964,-0.007738,0.176711,-0.010742,0.196472,0.040688,0.064995,-0.0,0.0,1.0,0.0
S-Vw16a,E,HuaweiP20Pro,5879,9.80659,4e-05,10.18255,0.0808,475,22.67,False,0.000225,0.009913,0.00286,0.036773,0.00038,0.020174,0.30835,19.66091,9.85719,9.8066,0.99941,0.015043,0.267664,-0.012433,0.204678,0.044827,0.087818,-0.0,-0.0,1.0,0.0
S-Vw16b,E,HuaweiP20Pro,1126,9.80659,4e-05,10.35522,0.0,0,23.48,False,,,,,,,,,,,,,,,,,,,,,
S-Vw17,E,HuaweiP20Pro,329,9.8066,4e-05,10.33552,0.0,0,19.6,False,,,,,,,,,,,,,,,,,,,,,
S-Vw2,E,HuaweiP20Pro,52713,9.80659,4e-05,10.18322,0.0348,1836,31.61,False,-0.005233,0.011948,0.010686,0.023606,-0.005564,0.014731,0.4846,19.66364,9.8658,9.8066,0.99822,0.167598,0.342003,-0.268697,0.360435,0.041575,0.094966,0.0,-0.0001,1.0,0.0
S-Vw3,E,HuaweiP20Pro,3861,9.80659,4e-05,10.37039,0.0448,173,20.99,False,-0.00191,0.013478,-0.003497,0.040269,-0.004769,0.015803,0.40602,19.67101,9.86993,9.8066,0.99888,0.026942,0.203064,-0.196847,0.371616,0.052294,0.096926,0.0,-0.0,1.0,0.0
S-Vw4,E,HuaweiP20Pro,126526,9.80659,4e-05,10.34273,0.04,5065,35.81,False,-0.00104,0.009186,0.002654,0.02332,-0.001253,0.014693,0.34363,19.66149,9.85923,9.8066,0.99912,0.038699,0.288683,-0.085903,0.281595,0.043915,0.069358,0.0,-0.0,1.0,0.0
S-Vw5,E,HuaweiP20Pro,1012,9.8066,4e-05,10.30364,0.0,0,9.87,False,,,,,,,,,,,,,,,,,,,,,
S-Vw6,E,HuaweiP20Pro,1281,9.8066,4e-05,10.28685,0.0,0,10.42,False,,,,,,,,,,,,,,,,,,,,,
S-Vw7,E,HuaweiP20Pro,1602,9.80659,4e-05,10.33807,0.0,0,13.7,False,,,,,,,,,,,,,,,,,,,,,
S-Vw8,E,HuaweiP20Pro,1529,9.80659,4e-05,10.40218,0.0105,16,10.76,False,,,,,,,,,,,,,,,,,,,,,
S-Vw9,E,HuaweiP20Pro,552,9.8066,4e-05,10.31794,0.0,0,14.04,False,,,,,,,,,,,,,,,,,,,,,
S-Y1,D,HuaweiP20Pro,70285,9.80662,2e-05,9.93159,0.0679,4773,21.53,False,0.000444,0.015831,-0.002534,0.028909,-0.000341,0.021822,0.21073,19.64519,9.83987,9.8066,0.99974,0.004761,0.166141,-0.019611,0.150181,0.030599,0.09982,0.0,-0.0002,1.0,0.01
