session_id,dataset_id,group,driver_id,phone_id,n_rows,duration_s,strategy,n_target_valid,pct_target_valid,n_vbox_targets,n_gps_targets,conf_high,conf_medium,conf_low,sync_confidence,gyro_transform_usable,acc_transform_usable
S-M_s00,S-M,B,B,HuaweiP20Pro,44226,4422.5,A_vbox,44218,99.98,44217,1,44218,0,0,high,True,False
S-M_s01,S-M,B,B,HuaweiP20Pro,61748,6176.0,A_vbox,61719,99.95,61719,0,61719,0,0,high,True,True
S-S1_s00,S-S1,B,A,HuaweiP20Pro,51746,5174.5,A_vbox,51744,100.0,51744,0,51744,0,0,high,True,True
S-S2_s00,S-S2,B,A,HuaweiP20Pro,1864,186.3,A_vbox,1789,95.98,1788,1,1789,0,0,high,True,True
S-S2_s01,S-S2,B,A,HuaweiP20Pro,92012,9201.1,A_vbox,91925,99.91,91925,0,91925,0,0,high,True,False
S-S3a_s00,S-S3a,B,A,HuaweiP20Pro,24621,2462.0,A_vbox,24554,99.73,24554,0,24554,0,0,high,True,False
S-S3b_s00,S-S3b,B,A,HuaweiP20Pro,2043,204.2,A_vbox,2039,99.8,2039,0,2039,0,0,high,True,False
S-S3b_s01,S-S3b,B,A,HuaweiP20Pro,4770,476.9,A_vbox,4723,99.01,4722,1,4723,0,0,high,True,False
S-S3c_s00,S-S3c,B,A,HuaweiP20Pro,37183,3718.2,A_vbox,37178,99.99,37178,0,37178,0,0,high,True,False
S-S4_s00,S-S4,B,A,HuaweiP20Pro,35186,3518.5,A_vbox,35168,99.95,35168,0,35168,0,0,high,True,False
S-S4_s01,S-S4,B,A,HuaweiP20Pro,55781,5578.0,B_gps,532,0.95,0,532,519,13,0,unusable,False,False
S-S4_s02,S-S4,B,A,HuaweiP20Pro,3633,363.2,B_gps,39,1.07,0,39,35,4,0,low,False,False
S-T10_s00,S-T10,B,F,MotorolaMotoG7Power,6699,669.8,B_gps,50,0.75,0,50,34,16,0,,False,False
S-T11_s00,S-T11,B,F,MotorolaMotoG7Power,5690,568.9,B_gps,40,0.7,0,40,22,18,0,,False,False
S-T2_s00,S-T2,C,F,MotorolaMotoG7Power,75555,7554.9,B_gps,774,1.02,0,774,759,15,0,,False,False
S-T3_s00,S-T3,C,F,MotorolaMotoG7Power,65859,6469.2,B_gps,711,1.08,0,711,564,147,0,,False,False
S-T7_s00,S-T7,C,F,MotorolaMotoG7Power,101690,10170.1,B_gps,1074,1.06,0,1074,846,228,0,,False,False
S-T8_s00,S-T8,C,F,MotorolaMotoG7Power,48344,4833.8,B_gps,236,0.49,0,236,94,142,0,,False,False
S-T9_s00,S-T9,C,F,MotorolaMotoG7Power,79909,7990.7,B_gps,292,0.37,0,292,56,236,0,,False,False
S-Vfa01_s00,S-Vfa01,B,E,HuaweiP20Pro,11486,1148.5,B_gps,122,1.06,0,122,118,4,0,high,False,False
S-Vfa02_s00,S-Vfa02,B,E,HuaweiP20Pro,67523,6752.2,B_gps,746,1.1,0,746,742,4,0,medium,False,False
S-Vta10_s00,S-Vta10,B,E,HuaweiP20Pro,1502,150.1,A_vbox,1497,99.67,1497,0,0,1497,0,medium,True,True
S-Vta11_s00,S-Vta11,B,E,HuaweiP20Pro,510,50.9,A_vbox,506,99.22,506,0,506,0,0,high,True,False
S-Vta12_s00,S-Vta12,B,E,HuaweiP20Pro,610,60.9,B_gps,6,0.98,0,6,6,0,0,low,False,False
S-Vta13_s00,S-Vta13,B,E,HuaweiP20Pro,404,40.3,A_vbox,400,99.01,400,0,0,400,0,medium,True,True
S-Vta14_s00,S-Vta14,B,E,HuaweiP20Pro,2885,288.4,B_gps,32,1.11,0,32,32,0,0,low,False,False
S-Vta15_s00,S-Vta15,B,E,HuaweiP20Pro,833,83.2,B_gps,9,1.08,0,9,9,0,0,low,False,False
S-Vta16_s00,S-Vta16,B,E,HuaweiP20Pro,11335,1133.4,A_vbox,11318,99.85,11318,0,11318,0,0,high,True,False
S-Vta17_s00,S-Vta17,B,E,HuaweiP20Pro,4519,453.0,A_vbox,4502,99.62,4502,0,0,4502,0,medium,True,False
S-Vta19_s00,S-Vta19,B,E,HuaweiP20Pro,292,29.1,B_gps,3,1.03,0,3,3,0,0,unusable,False,False
S-Vta1a_s00,S-Vta1a,B,E,HuaweiP20Pro,25676,2567.5,A_vbox,25538,99.46,25538,0,25538,0,0,high,True,True
S-Vta1b_s00,S-Vta1b,B,E,HuaweiP20Pro,954,95.3,A_vbox,949,99.48,948,1,1,948,0,medium,True,True
S-Vta2_s00,S-Vta2,B,E,HuaweiP20Pro,10991,1099.0,A_vbox,10983,99.93,10983,0,10983,0,0,high,True,True
S-Vta20_s00,S-Vta20,B,E,HuaweiP20Pro,3223,322.2,A_vbox,3165,98.2,3165,0,0,3165,0,medium,False,False
S-Vta21_s00,S-Vta21,B,E,HuaweiP20Pro,2079,207.8,A_vbox,1997,96.06,1996,1,1,1996,0,medium,False,False
S-Vta22_s00,S-Vta22,B,E,HuaweiP20Pro,1564,156.3,A_vbox,1526,97.57,1526,0,0,1526,0,medium,False,False
S-Vta23_s00,S-Vta23,B,E,HuaweiP20Pro,1110,110.9,A_vbox,1101,99.19,1101,0,0,1101,0,medium,False,False
S-Vta24_s00,S-Vta24,B,E,HuaweiP20Pro,1171,117.0,A_vbox,1161,99.15,1161,0,1161,0,0,high,True,False
S-Vta25_s00,S-Vta25,B,E,HuaweiP20Pro,646,64.5,A_vbox,644,99.69,644,0,644,0,0,high,True,False
S-Vta26_s00,S-Vta26,B,E,HuaweiP20Pro,1935,193.4,B_gps,13,0.67,0,13,12,1,0,low,False,False
S-Vta27_s00,S-Vta27,B,E,HuaweiP20Pro,2540,253.9,B_gps,24,0.94,0,24,22,2,0,low,False,False
S-Vta28_s00,S-Vta28,B,E,HuaweiP20Pro,4210,420.9,A_vbox,4196,99.67,4196,0,0,4196,0,medium,False,False
S-Vta29_s00,S-Vta29,B,E,HuaweiP20Pro,23705,2369.8,A_vbox,23645,99.75,23645,0,0,23645,0,medium,False,False
S-Vta3_s00,S-Vta3,B,E,HuaweiP20Pro,645,64.4,A_vbox,443,68.68,443,0,443,0,0,high,True,False
S-Vta30_s00,S-Vta30,B,E,HuaweiP20Pro,17136,1713.5,A_vbox,17114,99.87,17113,1,1,17113,0,medium,False,False
S-Vta4_s00,S-Vta4,B,E,HuaweiP20Pro,1789,178.8,A_vbox,1768,98.83,1767,1,1,1767,0,medium,True,True
S-Vta5_s00,S-Vta5,B,E,HuaweiP20Pro,307,30.6,A_vbox,303,98.7,303,0,303,0,0,high,True,True
S-Vta6_s00,S-Vta6,B,E,HuaweiP20Pro,1376,137.5,B_gps,15,1.09,0,15,15,0,0,low,False,False
S-Vta7_s00,S-Vta7,B,E,HuaweiP20Pro,840,83.9,A_vbox,825,98.21,825,0,825,0,0,high,True,True
S-Vta8_s00,S-Vta8,B,E,HuaweiP20Pro,3676,367.5,A_vbox,3663,99.65,3663,0,0,3663,0,medium,True,True
S-Vta9_s00,S-Vta9,B,E,HuaweiP20Pro,156,15.5,B_gps,1,0.64,0,1,1,0,0,unusable,False,False
S-Vtb1_s00,S-Vtb1,B,E,HuaweiP20Pro,684,68.3,A_vbox,670,97.95,670,0,0,670,0,medium,True,False
S-Vtb1_s01,S-Vtb1,B,E,HuaweiP20Pro,31775,2516.1,B_gps,275,0.87,0,275,261,14,0,low,False,False
S-Vtb10_s00,S-Vtb10,B,E,HuaweiP20Pro,196,19.5,B_gps,2,1.02,0,2,2,0,0,unusable,False,False
S-Vtb11_s00,S-Vtb11,B,E,HuaweiP20Pro,361,36.0,B_gps,4,1.11,0,4,4,0,0,low,False,False
S-Vtb12_s00,S-Vtb12,B,E,HuaweiP20Pro,447,44.6,A_vbox,446,99.78,446,0,446,0,0,high,True,True
S-Vtb2_s00,S-Vtb2,B,E,HuaweiP20Pro,5712,571.1,A_vbox,5703,99.84,5703,0,0,5703,0,medium,False,False
S-Vtb3_s00,S-Vtb3,B,E,HuaweiP20Pro,8240,823.9,A_vbox,8226,99.83,8226,0,0,8226,0,medium,False,False
S-Vtb4_s00,S-Vtb4,B,E,HuaweiP20Pro,556,55.5,B_gps,5,0.9,0,5,5,0,0,low,False,False
S-Vtb5_s00,S-Vtb5,B,E,HuaweiP20Pro,64388,6438.7,B_gps,702,1.09,0,702,693,9,0,low,False,False
S-Vtb6_s00,S-Vtb6,B,E,HuaweiP20Pro,498,49.7,B_gps,5,1.0,0,5,5,0,0,low,False,False
S-Vtb7_s00,S-Vtb7,B,E,HuaweiP20Pro,461,46.0,B_gps,5,1.08,0,5,5,0,0,low,False,False
S-Vtb8_s00,S-Vtb8,B,E,HuaweiP20Pro,668,66.7,B_gps,7,1.05,0,7,7,0,0,low,False,False
S-Vtb9_s00,S-Vtb9,B,E,HuaweiP20Pro,452,45.1,B_gps,5,1.11,0,5,5,0,0,low,False,False
S-Vw1_s00,S-Vw1,E,E,HuaweiP20Pro,20476,2047.5,none,0,0.0,0,0,0,0,0,unusable,False,False
S-Vw10_s00,S-Vw10,B,E,HuaweiP20Pro,652,65.1,B_gps,7,1.07,0,7,7,0,0,low,False,False
S-Vw11_s00,S-Vw11,B,E,HuaweiP20Pro,4909,490.8,A_vbox,4893,99.67,4893,0,4893,0,0,high,True,True
S-Vw12_s00,S-Vw12,B,E,HuaweiP20Pro,918,91.7,B_gps,10,1.09,0,10,10,0,0,low,False,False
S-Vw13_s00,S-Vw13,B,E,HuaweiP20Pro,284,28.3,B_gps,3,1.06,0,3,3,0,0,unusable,False,False
S-Vw14a_s00,S-Vw14a,B,E,HuaweiP20Pro,3138,313.7,B_gps,35,1.12,0,35,35,0,0,low,False,False
S-Vw14b_s00,S-Vw14b,B,E,HuaweiP20Pro,19588,1958.7,B_gps,218,1.11,0,218,218,0,0,unusable,False,False
S-Vw14c_s00,S-Vw14c,B,E,HuaweiP20Pro,15826,1582.5,A_vbox,15806,99.87,15806,0,0,15806,0,medium,True,False
S-Vw15_s00,S-Vw15,E,E,HuaweiP20Pro,1380,137.9,none,0,0.0,0,0,0,0,0,unusable,False,False
S-Vw16a_s00,S-Vw16a,B,E,HuaweiP20Pro,5879,587.8,B_gps,59,1.0,0,59,57,2,0,low,False,False
S-Vw16b_s00,S-Vw16b,B,E,HuaweiP20Pro,1126,112.5,B_gps,12,1.07,0,12,12,0,0,low,False,False
S-Vw17_s00,S-Vw17,B,E,HuaweiP20Pro,329,32.8,A_vbox,313,95.14,313,0,0,313,0,medium,False,True
S-Vw2_s00,S-Vw2,B,E,HuaweiP20Pro,52713,5271.2,A_vbox,52693,99.96,52693,0,0,52693,0,medium,True,True
S-Vw3_s00,S-Vw3,B,E,HuaweiP20Pro,3861,386.0,A_vbox,3857,99.9,3857,0,3857,0,0,high,True,False
S-Vw4_s00,S-Vw4,B,E,HuaweiP20Pro,126526,12652.5,A_vbox,126523,100.0,126523,0,0,126523,0,medium,True,False
S-Vw5_s00,S-Vw5,B,E,HuaweiP20Pro,1012,101.1,A_vbox,981,96.94,981,0,981,0,0,high,True,True
S-Vw6_s00,S-Vw6,B,E,HuaweiP20Pro,1281,128.0,A_vbox,1271,99.22,1271,0,1271,0,0,high,True,False
S-Vw7_s00,S-Vw7,B,E,HuaweiP20Pro,1602,160.1,B_gps,17,1.06,0,17,17,0,0,low,False,False
S-Vw8_s00,S-Vw8,B,E,HuaweiP20Pro,1529,152.8,B_gps,16,1.05,0,16,16,0,0,low,False,False
S-Vw9_s00,S-Vw9,B,E,HuaweiP20Pro,552,55.1,A_vbox,545,98.73,545,0,545,0,0,high,True,True
S-Y1_s00,S-Y1,B,D,HuaweiP20Pro,302,30.1,none,0,0.0,0,0,0,0,0,unusable,False,False
S-Y1_s01,S-Y1,B,D,HuaweiP20Pro,36,3.5,none,0,0.0,0,0,0,0,0,unusable,False,False
S-Y1_s02,S-Y1,B,D,HuaweiP20Pro,3037,303.6,B_gps,28,0.92,0,28,25,3,0,unusable,False,False
S-Y1_s03,S-Y1,B,D,HuaweiP20Pro,66910,6690.8,B_gps,681,1.02,0,681,653,28,0,unusable,False,False
