dataset_id,variant,kind,driver_id,vehicle_id,phone_id,n_rows,n_cols,duration_s,acc_xyz,gyro_xyz,gravity_xyz,magnetometer_xyz,orientation_xyz,gps,gps_accuracy,gps_satellites,timestamp,vbox_vehicle,sample_rate_hz,duplicate_rows,duplicate_timestamps,t_monotonic,max_gap_s,repair_required,repair_note,group,group_reason,core_eligible
S-Vfa02,S,S,E,FordFiestaTitanium,HuaweiP20Pro,67523,24,6752.2,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.141,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta10,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1502,24,150.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.109,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta11,S,S,E,FordFiestaTitanium,HuaweiP20Pro,510,24,50.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.102,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta12,S,S,E,FordFiestaTitanium,HuaweiP20Pro,610,24,60.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta13,S,S,E,FordFiestaTitanium,HuaweiP20Pro,404,24,40.3,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta14,S,S,E,FordFiestaTitanium,HuaweiP20Pro,2885,24,288.4,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.105,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta15,S,S,E,FordFiestaTitanium,HuaweiP20Pro,833,24,83.2,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.11,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta16,S,S,E,FordFiestaTitanium,HuaweiP20Pro,11335,24,1133.4,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.11,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta17,S,S,E,FordFiestaTitanium,HuaweiP20Pro,4519,24,452.99,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,1.284,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta19,S,S,E,FordFiestaTitanium,HuaweiP20Pro,292,24,29.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta1a,S,S,E,FordFiestaTitanium,HuaweiP20Pro,25676,24,2567.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.111,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta1b,S,S,E,FordFiestaTitanium,HuaweiP20Pro,954,24,95.3,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.106,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta2,S,S,E,FordFiestaTitanium,HuaweiP20Pro,10991,24,1099.0,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.108,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta20,S,S,E,FordFiestaTitanium,HuaweiP20Pro,3223,24,322.2,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.105,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta21,S,S,E,FordFiestaTitanium,HuaweiP20Pro,2079,24,207.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta22,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1564,24,156.3,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta23,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1110,24,110.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta24,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1171,24,117.0,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta25,S,S,E,FordFiestaTitanium,HuaweiP20Pro,646,24,64.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta26,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1935,24,193.4,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta27,S,S,E,FordFiestaTitanium,HuaweiP20Pro,2540,24,253.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta28,S,S,E,FordFiestaTitanium,HuaweiP20Pro,4210,24,420.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.107,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta29,S,S,E,FordFiestaTitanium,HuaweiP20Pro,23705,24,2369.78,True,True,True,True,True,True,True,True,True,False,10.0,4,4,True,0.111,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta3,S,S,E,FordFiestaTitanium,HuaweiP20Pro,645,24,64.4,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta30,S,S,E,FordFiestaTitanium,HuaweiP20Pro,17136,24,1713.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.134,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta4,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1789,24,178.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta5,S,S,E,FordFiestaTitanium,HuaweiP20Pro,307,24,30.6,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.102,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta6,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1376,24,137.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.106,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta7,S,S,E,FordFiestaTitanium,HuaweiP20Pro,840,24,83.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.108,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta8,S,S,E,FordFiestaTitanium,HuaweiP20Pro,3676,24,367.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.108,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vta9,S,S,E,FordFiestaTitanium,HuaweiP20Pro,156,24,15.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.102,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb1,S,S,E,FordFiestaTitanium,HuaweiP20Pro,32459,24,3245.8,True,True,True,True,True,True,True,True,True,False,10.0,5370,5456,True,661.376,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb10,S,S,E,FordFiestaTitanium,HuaweiP20Pro,196,24,19.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.105,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb11,S,S,E,FordFiestaTitanium,HuaweiP20Pro,361,24,36.0,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb12,S,S,E,FordFiestaTitanium,HuaweiP20Pro,447,24,44.6,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb2,S,S,E,FordFiestaTitanium,HuaweiP20Pro,5712,24,571.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.107,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb3,S,S,E,FordFiestaTitanium,HuaweiP20Pro,8240,24,823.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.106,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb4,S,S,E,FordFiestaTitanium,HuaweiP20Pro,556,24,55.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.102,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb5,S,S,E,FordFiestaTitanium,HuaweiP20Pro,64388,24,6438.7,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.119,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb6,S,S,E,FordFiestaTitanium,HuaweiP20Pro,498,24,49.7,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.112,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb7,S,S,E,FordFiestaTitanium,HuaweiP20Pro,461,24,46.0,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb8,S,S,E,FordFiestaTitanium,HuaweiP20Pro,668,24,66.7,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.105,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vtb9,S,S,E,FordFiestaTitanium,HuaweiP20Pro,452,24,45.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw1,S,S,E,FordFiestaTitanium,HuaweiP20Pro,20476,24,2047.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.115,False,,E,"stationary recording (GPS speed max 0.0 km/h, 99.4% of samples stationary): use for sensor-bias estimation, not motion training",False
S-Vw10,S,S,E,FordFiestaTitanium,HuaweiP20Pro,652,24,65.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw11,S,S,E,FordFiestaTitanium,HuaweiP20Pro,4909,24,490.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.109,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw12,S,S,E,FordFiestaTitanium,HuaweiP20Pro,918,24,91.7,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.104,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw13,S,S,E,FordFiestaTitanium,HuaweiP20Pro,284,24,28.3,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.102,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw14a,S,S,E,FordFiestaTitanium,HuaweiP20Pro,3138,24,313.7,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.106,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw14b,S,S,E,FordFiestaTitanium,HuaweiP20Pro,19588,24,1958.7,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.109,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw14c,S,S,E,FordFiestaTitanium,HuaweiP20Pro,15826,24,1582.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.112,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw15,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1380,24,137.9,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.102,False,,E,"stationary recording (GPS speed max 0.0 km/h, 97.7% of samples stationary): use for sensor-bias estimation, not motion training",False
S-Vw16a,S,S,E,FordFiestaTitanium,HuaweiP20Pro,5879,24,587.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.105,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw16b,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1126,24,112.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw17,S,S,E,FordFiestaTitanium,HuaweiP20Pro,329,24,32.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw2,S,S,E,FordFiestaTitanium,HuaweiP20Pro,52713,24,5271.2,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.123,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw3,S,S,E,FordFiestaTitanium,HuaweiP20Pro,3861,24,386.0,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.105,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw4,S,S,E,FordFiestaTitanium,HuaweiP20Pro,126526,24,12652.5,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.124,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw5,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1012,24,101.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw6,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1281,24,128.0,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw7,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1602,24,160.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.106,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw8,S,S,E,FordFiestaTitanium,HuaweiP20Pro,1529,24,152.8,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.105,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Vw9,S,S,E,FordFiestaTitanium,HuaweiP20Pro,552,24,55.1,True,True,True,True,True,True,True,True,True,False,10.0,0,0,True,0.103,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
S-Y1,S,S,D,FordFiestaTitanium,HuaweiP20Pro,70285,24,6690.8,True,True,True,True,True,True,True,True,True,False,10.0,0,1,False,0.112,False,,B,full smartphone schema: core IMU plus magnetometer and 3-axis orientation,True
V-M,V_full,V,B,FordFiestaTitanium,,105995,29,10599.4,False,False,False,False,False,True,False,True,True,True,10.0,1,1,True,0.2,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-M,V_sync,V,B,FordFiestaTitanium,,105974,29,10597.3,False,False,False,False,False,True,False,True,True,True,10.0,1,1,True,0.2,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S1,V_full,V,A,FordFiestaTitanium,,51790,29,5178.9,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S1,V_sync,V,A,FordFiestaTitanium,,51746,29,5174.5,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S2,V_full,V,A,FordFiestaTitanium,,93900,29,9389.9,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S2,V_sync,V,A,FordFiestaTitanium,,93876,29,9387.5,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S3a,V_full,V,A,FordFiestaTitanium,,24660,29,2465.9,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.1,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S3a,V_sync,V,A,FordFiestaTitanium,,24621,29,2462.0,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.1,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S3b,V_full,V,A,FordFiestaTitanium,,6840,29,683.9,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.1,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S3b,V_sync,V,A,FordFiestaTitanium,,6813,29,681.2,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.1,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S3c,V_full,V,A,FordFiestaTitanium,,37220,29,3721.9,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S3c,V_sync,V,A,FordFiestaTitanium,,37183,29,3718.2,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S4,V_full,V,A,FordFiestaTitanium,,97824,29,9782.3,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-S4,V_sync,V,A,FordFiestaTitanium,,94600,29,9459.9,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.101,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-St1,V_full,V,C,FordFiestaTitanium,,57213,29,5721.2,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.1,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-St4,V_full,V,C,FordFiestaTitanium,,13591,29,1359.0,False,False,False,False,False,True,False,True,True,True,10.0,1,1,True,0.2,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
V-St6,V_full,V,C,FordFiestaTitanium,,51360,29,5135.9,False,False,False,False,False,True,False,True,True,True,10.0,0,0,True,0.1,False,,D,"vehicle/VBOX/ECU schema (29 ECU channels, no smartphone IMU); must never be row-concatenated with smartphone data",False
