pair_base,s_id,v_id,in_sync_folder,s_exists,v_exists,verdict,s_date,s_tod_start,s_tod_end,vfull_tod_start,vfull_tod_end,vfull_overlap_s,vfull_overlap_frac,vfull_overlap_bst_s,vfull_overlap_bst_frac,vsync_tod_start,vsync_tod_end,vsync_overlap_s,vsync_overlap_frac,vsync_overlap_bst_s,vsync_overlap_bst_frac,best_offset
vfa01,S-Vfa01,V-Vfa01,True,True,True,SYNC_CONFIRMED,2019-11-08,33626.24,34774.74,33622.0,34775.4,1148.5,1.0,0.0,0.0,33622.0,34775.4,1148.5,1.0,0.0,0.0,none(UTC/GMT)
vfa02,S-Vfa02,V-Vfa02,True,True,True,SYNC_CONFIRMED,2019-11-08,35837.65,42589.85,35829.9,42605.3,6752.2,1.0,3159.95,0.468,35829.9,42605.3,6752.2,1.0,3159.95,0.468,none(UTC/GMT)
vfb01a,,V-Vfb01a,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb01b,,V-Vfb01b,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb01c,,V-Vfb01c,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb01d,,V-Vfb01d,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb02a,,V-Vfb02a,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb02b,,V-Vfb02b,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb02c,,V-Vfb02c,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb02d,,V-Vfb02d,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb02e,,V-Vfb02e,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb02f,,V-Vfb02f,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vfb02g,,V-Vfb02g,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vta10,S-Vta10,V-Vta10,True,True,True,SYNC_CONFIRMED,2019-11-06,43310.39,43460.49,43303.2,43460.1,149.71,0.9974,0.0,0.0,43309.9,43460.0,149.61,0.9967,0.0,0.0,none(UTC/GMT)
vta11,S-Vta11,V-Vta11,True,True,True,SYNC_CONFIRMED,2019-11-06,43472.39,43523.29,43464.1,43522.9,50.51,0.9923,0.0,0.0,43471.9,43522.8,50.41,0.9904,0.0,0.0,none(UTC/GMT)
vta12,S-Vta12,V-Vta12,True,True,True,SYNC_CONFIRMED,2019-11-06,43535.39,43596.29,43527.2,43596.1,60.71,0.9969,0.0,0.0,43535.1,43596.0,60.61,0.9952,0.0,0.0,none(UTC/GMT)
vta13,S-Vta13,V-Vta13,True,True,True,SYNC_CONFIRMED,2019-11-06,43607.29,43647.59,43600.1,43647.3,40.01,0.9928,0.0,0.0,43606.9,43647.2,39.91,0.9903,0.0,0.0,none(UTC/GMT)
vta14,S-Vta14,V-Vta14,True,True,True,SYNC_CONFIRMED,2019-11-06,43652.49,43940.89,43651.1,43940.3,287.81,0.998,0.0,0.0,43651.8,43940.2,287.71,0.9976,0.0,0.0,none(UTC/GMT)
vta15,S-Vta15,V-Vta15,True,True,True,SYNC_CONFIRMED,2019-11-06,43951.79,44034.99,43945.3,44032.1,80.31,0.9653,0.0,0.0,43948.8,44032.0,80.21,0.9641,0.0,0.0,none(UTC/GMT)
vta16,S-Vta16,V-Vta16,True,True,True,SYNC_CONFIRMED,2019-11-06,44040.69,45174.09,44036.4,45172.4,1131.71,0.9985,0.0,0.0,44038.9,45172.3,1131.61,0.9984,0.0,0.0,none(UTC/GMT)
vta17,S-Vta17,V-Vta17,True,True,True,SYNC_CONFIRMED,2019-11-06,45185.39,45638.38,45177.5,45636.8,451.41,0.9965,0.0,0.0,45184.9,45636.7,451.31,0.9963,0.0,0.0,none(UTC/GMT)
vta18,,V-Vta18,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vta19,S-Vta19,V-Vta19,True,True,True,SYNC_CONFIRMED,2019-11-06,45657.38,45686.48,45655.2,45686.1,28.72,0.9869,0.0,0.0,45656.9,45686.0,28.62,0.9835,0.0,0.0,none(UTC/GMT)
vta1a,S-Vta1a,V-Vta1a,True,True,True,SYNC_CONFIRMED,2019-11-06,38507.36,41074.86,38506.6,41088.6,2567.5,1.0,0.0,0.0,38521.0,41088.5,2553.86,0.9947,0.0,0.0,none(UTC/GMT)
vta1b,S-Vta1b,V-Vta1b,True,True,True,SYNC_CONFIRMED,2019-11-06,41089.46,41184.76,41088.7,41184.2,94.74,0.9941,0.0,0.0,41089.0,41184.2,94.74,0.9941,0.0,0.0,none(UTC/GMT)
vta2,S-Vta2,V-Vta2,True,True,True,SYNC_CONFIRMED,2019-11-06,41191.26,42290.26,41190.0,42289.4,1098.14,0.9992,0.0,0.0,41190.3,42289.3,1098.04,0.9991,0.0,0.0,none(UTC/GMT)
vta20,S-Vta20,V-Vta20,True,True,True,SYNC_CONFIRMED,2019-11-06,45741.72,46063.92,45715.0,46037.2,295.48,0.9171,0.0,0.0,45715.0,46037.2,295.48,0.9171,0.0,0.0,none(UTC/GMT)
vta21,S-Vta21,V-Vta21,True,True,True,SYNC_CONFIRMED,2019-11-06,46052.02,46259.82,46042.9,46251.6,199.58,0.9604,0.0,0.0,46043.7,46251.5,199.48,0.96,0.0,0.0,none(UTC/GMT)
vta22,S-Vta22,V-Vta22,True,True,True,SYNC_CONFIRMED,2019-11-06,46260.82,46417.12,46256.3,46413.4,152.58,0.9762,0.0,0.0,46257.0,46413.3,152.48,0.9756,0.0,0.0,none(UTC/GMT)
vta23,S-Vta23,V-Vta23,True,True,True,SYNC_CONFIRMED,2019-11-06,46420.02,46530.92,46418.3,46530.1,110.08,0.9926,0.0,0.0,46419.1,46530.0,109.98,0.9917,0.0,0.0,none(UTC/GMT)
vta24,S-Vta24,V-Vta24,True,True,True,SYNC_CONFIRMED,2019-11-06,46535.92,46652.92,46534.6,46652.9,116.98,0.9998,0.0,0.0,46535.8,46652.8,116.88,0.999,0.0,0.0,none(UTC/GMT)
vta25,S-Vta25,V-Vta25,True,True,True,SYNC_CONFIRMED,2019-11-06,46656.32,46720.82,46657.6,46722.1,63.22,0.9802,0.0,0.0,46657.6,46722.1,63.22,0.9802,0.0,0.0,none(UTC/GMT)
vta26,S-Vta26,V-Vta26,True,True,True,SYNC_CONFIRMED,2019-11-06,46728.92,46922.32,46726.5,46921.1,192.18,0.9937,0.0,0.0,46727.6,46921.0,192.08,0.9932,0.0,0.0,none(UTC/GMT)
vta27,S-Vta27,V-Vta27,True,True,True,SYNC_CONFIRMED,2019-11-06,46929.62,47183.52,46925.6,47210.8,253.9,1.0,0.0,0.0,46956.8,47210.7,226.72,0.8929,0.0,0.0,none(UTC/GMT)
vta28,S-Vta28,V-Vta28,True,True,True,SYNC_CONFIRMED,2019-11-06,47214.92,47635.82,47215.5,47637.3,420.32,0.9986,0.0,0.0,47216.3,47637.2,419.52,0.9967,0.0,0.0,none(UTC/GMT)
vta29,S-Vta29,V-Vta29,True,True,True,SYNC_CONFIRMED,2019-11-06,48440.81,50810.59,48443.1,50816.7,2367.49,0.999,0.0,0.0,48446.2,50816.6,2364.39,0.9977,0.0,0.0,none(UTC/GMT)
vta3,S-Vta3,V-Vta3,True,True,True,SYNC_CONFIRMED,2019-11-06,42353.89,42418.29,42351.1,42438.5,64.4,1.0,0.0,0.0,42374.0,42438.4,44.29,0.6877,0.0,0.0,none(UTC/GMT)
vta30,S-Vta30,V-Vta30,True,True,True,SYNC_CONFIRMED,2019-11-06,50823.89,52537.39,50821.6,52539.4,1713.5,1.0,0.0,0.0,50821.6,52535.1,1711.21,0.9987,0.0,0.0,none(UTC/GMT)
vta4,S-Vta4,V-Vta4,True,True,True,SYNC_CONFIRMED,2019-11-06,42447.39,42626.19,42443.3,42624.1,176.71,0.9883,0.0,0.0,42445.2,42624.0,176.61,0.9878,0.0,0.0,none(UTC/GMT)
vta5,S-Vta5,V-Vta5,True,True,True,SYNC_CONFIRMED,2019-11-06,42634.39,42664.99,42628.7,42664.3,29.91,0.9775,0.0,0.0,42633.6,42664.2,29.81,0.9742,0.0,0.0,none(UTC/GMT)
vta6,S-Vta6,V-Vta6,True,True,True,SYNC_CONFIRMED,2019-11-06,42671.99,42809.49,42668.1,42807.3,135.31,0.9841,0.0,0.0,42669.7,42807.2,135.21,0.9833,0.0,0.0,none(UTC/GMT)
vta7,S-Vta7,V-Vta7,True,True,True,SYNC_CONFIRMED,2019-11-06,42815.29,42899.19,42812.1,42897.7,82.41,0.9822,0.0,0.0,42813.7,42897.6,82.31,0.981,0.0,0.0,none(UTC/GMT)
vta8,S-Vta8,V-Vta8,True,True,True,SYNC_CONFIRMED,2019-11-06,42905.29,43272.79,42902.0,43271.6,366.31,0.9968,0.0,0.0,42904.0,43271.5,366.21,0.9965,0.0,0.0,none(UTC/GMT)
vta9,S-Vta9,V-Vta9,True,True,True,SYNC_CONFIRMED,2019-11-06,43283.39,43298.89,43276.2,43298.7,15.31,0.9877,0.0,0.0,43283.1,43298.6,15.21,0.9813,0.0,0.0,none(UTC/GMT)
vtb1,S-Vtb1,V-Vtb1,True,True,True,SYNC_CONFIRMED,2019-11-06,53857.15,57102.94,53857.8,57103.6,3245.14,0.9998,0.0,0.0,53857.8,57103.6,3245.14,0.9998,0.0,0.0,none(UTC/GMT)
vtb10,S-Vtb10,V-Vtb10,True,True,True,SYNC_CONFIRMED,2019-11-06,66157.38,66176.88,66156.9,66176.3,18.92,0.9703,0.0,0.0,66156.9,66176.3,18.92,0.9703,0.0,0.0,none(UTC/GMT)
vtb11,S-Vtb11,V-Vtb11,True,True,True,SYNC_CONFIRMED,2019-11-06,66186.38,66222.38,66180.9,66224.1,36.0,1.0,0.0,0.0,66188.0,66224.0,34.38,0.955,0.0,0.0,none(UTC/GMT)
vtb12,S-Vtb12,V-Vtb12,True,True,True,SYNC_CONFIRMED,2019-11-06,66231.47,66276.08,66228.9,66277.8,44.61,1.0,0.0,0.0,66233.1,66277.7,42.98,0.9635,0.0,0.0,none(UTC/GMT)
vtb13,,V-Vtb13,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
vtb2,S-Vtb2,V-Vtb2,True,True,True,SYNC_CONFIRMED,2019-11-06,57980.48,58551.58,57981.4,58552.5,570.18,0.9984,0.0,0.0,57981.4,58552.5,570.18,0.9984,0.0,0.0,none(UTC/GMT)
vtb3,S-Vtb3,V-Vtb3,True,True,True,SYNC_CONFIRMED,2019-11-06,58561.68,59385.58,58558.3,59387.1,823.9,1.0,0.0,0.0,58563.1,59387.0,822.48,0.9983,0.0,0.0,none(UTC/GMT)
vtb4,S-Vtb4,V-Vtb4,True,True,True,SYNC_CONFIRMED,2019-11-06,59398.38,59453.88,59392.0,59454.4,55.5,1.0,0.0,0.0,59398.8,59454.3,55.08,0.9924,0.0,0.0,none(UTC/GMT)
vtb5,S-Vtb5,V-Vtb5,True,True,True,SYNC_CONFIRMED,2019-11-06,59453.07,65891.78,59459.3,65920.2,6432.48,0.999,2832.48,0.4399,59481.4,65920.1,6410.38,0.9956,2810.38,0.4365,none(UTC/GMT)
vtb6,S-Vtb6,V-Vtb6,True,True,True,SYNC_CONFIRMED,2019-11-06,65925.38,65975.08,65926.0,65976.7,49.08,0.9875,0.0,0.0,65926.9,65976.6,48.18,0.9694,0.0,0.0,none(UTC/GMT)
vtb7,S-Vtb7,V-Vtb7,True,True,True,SYNC_CONFIRMED,2019-11-06,65979.38,66025.38,65981.2,66027.2,44.18,0.9604,0.0,0.0,65981.2,66027.2,44.18,0.9604,0.0,0.0,none(UTC/GMT)
vtb8,S-Vtb8,V-Vtb8,True,True,True,SYNC_CONFIRMED,2019-11-06,66033.38,66100.08,66032.0,66101.8,66.7,1.0,0.0,0.0,66035.0,66101.7,65.08,0.9757,0.0,0.0,none(UTC/GMT)
vtb9,S-Vtb9,V-Vtb9,True,True,True,SYNC_CONFIRMED,2019-11-06,66105.38,66150.48,66106.6,66152.2,43.88,0.9729,0.0,0.0,66107.0,66152.1,43.48,0.9641,0.0,0.0,none(UTC/GMT)
vw1,S-Vw1,V-Vw1,True,True,True,SYNC_CONFIRMED,2020-01-08,34675.82,36723.32,34575.4,36622.8,1946.98,0.9509,0.0,0.0,34575.4,36622.8,1946.98,0.9509,0.0,0.0,none(UTC/GMT)
vw10,S-Vw10,V-Vw10,True,True,True,SYNC_CONFIRMED,2020-01-08,58061.9,58127.0,58060.7,58127.6,65.1,1.0,0.0,0.0,58062.4,58127.5,64.6,0.9923,0.0,0.0,none(UTC/GMT)
vw11,S-Vw11,V-Vw11,True,True,True,SYNC_CONFIRMED,2020-01-08,58135.5,58626.3,58132.5,58624.8,489.3,0.9969,0.0,0.0,58134.0,58624.8,489.3,0.9969,0.0,0.0,none(UTC/GMT)
vw12,S-Vw12,V-Vw12,True,True,True,SYNC_CONFIRMED,2020-01-08,58640.2,58731.9,58630.2,58737.0,91.7,1.0,0.0,0.0,58636.2,58727.9,87.7,0.9564,0.0,0.0,none(UTC/GMT)
vw13,S-Vw13,V-Vw13,True,True,True,SYNC_CONFIRMED,2020-01-08,58826.1,58854.4,58823.8,58853.4,27.3,0.9647,0.0,0.0,58825.1,58853.4,27.3,0.9647,0.0,0.0,none(UTC/GMT)
vw14a,S-Vw14a,V-Vw14a,True,True,True,SYNC_CONFIRMED,2020-01-08,58874.98,59188.68,58870.0,59183.9,308.92,0.9848,0.0,0.0,58870.1,59183.8,308.82,0.9844,0.0,0.0,none(UTC/GMT)
vw14b,S-Vw14b,V-Vw14b,True,True,True,SYNC_CONFIRMED,2020-01-08,59188.98,61147.68,59184.0,61143.9,1954.92,0.9981,0.0,0.0,59185.1,61143.8,1954.82,0.998,0.0,0.0,none(UTC/GMT)
vw14c,S-Vw14c,V-Vw14c,True,True,True,SYNC_CONFIRMED,2020-01-08,61148.98,62731.48,61144.0,62729.6,1580.62,0.9988,0.0,0.0,61147.0,62729.5,1580.52,0.9987,0.0,0.0,none(UTC/GMT)
vw15,S-Vw15,V-Vw15,True,True,True,SYNC_CONFIRMED,2020-01-08,62989.94,63127.84,62986.9,63125.9,135.96,0.9859,0.0,0.0,62986.9,63125.9,135.96,0.9859,0.0,0.0,none(UTC/GMT)
vw16a,S-Vw16a,V-Vw16a,True,True,True,SYNC_CONFIRMED,2020-01-08,63133.6,63721.4,63131.8,63731.7,587.8,1.0,0.0,0.0,63143.8,63731.6,577.6,0.9826,0.0,0.0,none(UTC/GMT)
vw16b,S-Vw16b,V-Vw16b,True,True,True,SYNC_CONFIRMED,2020-01-08,63736.0,63848.5,63731.8,63848.8,112.5,1.0,0.0,0.0,63736.2,63848.7,112.3,0.9982,0.0,0.0,none(UTC/GMT)
vw17,S-Vw17,V-Vw17,True,True,True,SYNC_CONFIRMED,2020-01-08,63854.7,63887.5,63853.1,63885.9,31.2,0.9512,0.0,0.0,63853.1,63885.9,31.2,0.9512,0.0,0.0,none(UTC/GMT)
vw2,S-Vw2,V-Vw2,True,True,True,SYNC_CONFIRMED,2020-01-08,36946.68,42217.88,36944.8,42215.9,5269.22,0.9996,1673.08,0.3174,36944.8,42215.9,5269.22,0.9996,1673.08,0.3174,none(UTC/GMT)
vw3,S-Vw3,V-Vw3,True,True,True,SYNC_CONFIRMED,2020-01-08,42239.98,42625.98,42232.0,42626.0,386.0,1.0,0.0,0.0,42240.0,42626.0,385.98,0.9999,0.0,0.0,none(UTC/GMT)
vw4,S-Vw4,V-Vw4,True,True,True,SYNC_CONFIRMED,2020-01-08,44127.0,56779.5,44122.1,56779.3,12652.3,1.0,9057.4,0.7159,44126.7,56779.3,12652.3,1.0,9052.8,0.7155,none(UTC/GMT)
vw5,S-Vw5,V-Vw5,True,True,True,SYNC_CONFIRMED,2020-01-08,56796.9,56898.0,56790.4,56895.3,98.4,0.9733,0.0,0.0,56794.1,56895.2,98.3,0.9723,0.0,0.0,none(UTC/GMT)
vw6,S-Vw6,V-Vw6,True,True,True,SYNC_CONFIRMED,2020-01-08,56902.9,57030.9,56903.6,57032.3,127.3,0.9945,0.0,0.0,56904.2,57032.2,126.7,0.9898,0.0,0.0,none(UTC/GMT)
vw7,S-Vw7,V-Vw7,True,True,True,SYNC_NOT_CONFIRMED,2020-01-08,57309.0,57469.1,57468.2,57637.0,0.9,0.0056,0.0,0.0,57476.8,57636.9,0.0,0.0,0.0,0.0,none(UTC/GMT)
vw8,S-Vw8,V-Vw8,True,True,True,SYNC_NOT_CONFIRMED,2020-01-08,57489.0,57641.8,57643.1,57802.9,0.0,0.0,0.0,0.0,57650.0,57802.8,0.0,0.0,0.0,0.0,none(UTC/GMT)
vw9,S-Vw9,V-Vw9,True,True,True,SYNC_CONFIRMED,2020-01-08,57840.4,57895.5,57835.1,57895.1,54.7,0.9927,0.0,0.0,57839.9,57895.1,54.7,0.9927,0.0,0.0,none(UTC/GMT)
y1,S-Y1,V-Y1,True,True,True,SYNC_CONFIRMED,2019-08-30,65565.7,72957.02,61954.4,69626.8,4061.1,0.5494,7391.32,1.0,61959.9,69626.7,4061.0,0.5494,7391.32,1.0,BST(+3600s)
y2,,V-Y2,False,False,True,NO_COUNTERPART,,,,,,,,,,,,,,,,none(UTC/GMT)
