dataset_id,group,driver_id,phone_id,n_rows,sessions,lin_acc_p999,lin_acc_max,n_lin_acc_gt_20,n_lin_acc_gt_78,gyro_p999,gyro_max,n_gyro_gt_5,n_gps_invalid,pct_gps_invalid,n_gps_jump,n_gps_fix,gps_hold_pct
S-Vw10,B,E,HuaweiP20Pro,652,1,14.406,14.761,0,0,1.518,1.5626,0,0,0.0,0,8,98.77
S-Vw11,B,E,HuaweiP20Pro,4909,1,12.577,14.178,0,0,1.585,1.6606,0,1,0.02,0,49,99.0
S-Vw12,B,E,HuaweiP20Pro,918,1,9.46,10.352,0,0,1.2578,1.2592,0,0,0.0,0,11,98.8
S-Vw13,B,E,HuaweiP20Pro,284,1,11.989,12.475,0,0,1.333,1.3787,0,0,0.0,0,4,98.59
S-Vw14a,B,E,HuaweiP20Pro,3138,1,11.578,18.373,0,0,1.5236,1.9736,0,0,0.0,0,36,98.85
S-Vw14b,B,E,HuaweiP20Pro,19588,1,10.162,15.92,0,0,1.2951,1.9338,0,0,0.0,0,219,98.88
S-Vw14c,B,E,HuaweiP20Pro,15826,1,11.562,15.761,0,0,1.552,2.2038,0,1,0.01,0,157,99.01
S-Vw15,E,E,HuaweiP20Pro,1380,1,2.076,3.454,0,0,0.3113,0.426,0,1,0.07,0,1,99.93
S-Vw16a,B,E,HuaweiP20Pro,5879,1,12.455,18.099,0,0,1.7033,2.1713,0,1,0.02,0,61,98.96
S-Vw16b,B,E,HuaweiP20Pro,1126,1,12.632,13.288,0,0,2.16,2.3728,0,0,0.0,0,13,98.85
S-Vw17,B,E,HuaweiP20Pro,329,1,9.784,9.798,0,0,0.8186,0.8193,0,0,0.0,0,4,98.78
S-Vw2,B,E,HuaweiP20Pro,52713,1,11.586,18.736,0,0,1.4918,2.5379,0,1,0.0,0,565,98.93
S-Vw3,B,E,HuaweiP20Pro,3861,1,12.731,14.594,0,0,1.8044,2.3025,0,0,0.0,0,41,98.94
S-Vw4,B,E,HuaweiP20Pro,126526,1,13.951,32.256,10,0,1.8208,3.8307,0,5,0.0,0,1340,98.94
S-Vw5,B,E,HuaweiP20Pro,1012,1,14.094,15.511,0,0,1.6394,2.1532,0,0,0.0,0,12,98.81
S-Vw6,B,E,HuaweiP20Pro,1281,1,14.715,15.719,0,0,1.759,1.8031,0,0,0.0,0,15,98.83
S-Vw7,B,E,HuaweiP20Pro,1602,1,12.107,13.165,0,0,1.513,1.6828,0,0,0.0,0,18,98.88
S-Vw8,B,E,HuaweiP20Pro,1529,1,13.085,15.855,0,0,1.8265,2.0038,0,0,0.0,0,17,98.89
S-Vw9,B,E,HuaweiP20Pro,552,1,11.726,12.332,0,0,1.4793,1.5657,0,0,0.0,0,7,98.73
S-Y1,B,D,HuaweiP20Pro,70285,4,6.048,34.601,2,0,1.1731,17.1011,7,385,0.55,0,722,98.97
